a		Nc, Ng, Vit, I, E
cửa bức bàn		Nc, Ng
cửa chớp		Nc, Ng
cửa công		Nc, Ng
cửa già		Nc, Ng
cửa giả		Nc, Ng
cửa hàng		Nc, Ng
cửa hàng trưởng		Nc, Ng
cửa hiệu		Nc, Ng
cửa khẩu		Nc, Ng
cửa không		Nc, Ng
cửa Khổng		Na
cửa Khổng sân Trình		Np
cửa kính		Nc, Ng
cửa lá sách		Nc, Ng
cửa mạch		Nc, Ng
cửa mái		Nc, Ng
cửa miệng		Nc, Ng
cửa mình		Nc, Ng
cửa mở		Nc
cửa nẻo		Nc, Ng
cửa ngõ		Nc, Ng
cửa nhà		Nc, Ng
cửa ô		Nc, Ng
Cửa Phật		Na
cửa quan		Nc, Na
cửa quan		Nc, Na
cửa quyền		Na, Aa
cửa rả		Nc, Ng
cửa sổ		Nc, Ng
cửa sông		Nc, Ng
cửa tay		Nc, Ng
cửa thiền		Na
cửa tò vò		Nc, Ng
cửa trời		Na
cửa từ bi		Na
cửa tử		Na
cửa van		Nc, Ng
cứa		Vt
cứa cổ		Vit
cựa		Nc, Ng, Vt
cựa cậy		Vit
cựa quậy		Vit
cức bì		Nc, Ng
cực		Nl, Jd, Aa
cực chẳng đã		Aa
cực đại		Na, An
cực điểm		Na
cực đoan		Aa
cực độ		Na, Jd
cực hạn		Na
cực hình		Na
cực hữu		Aa
cực khổ		Aa
cực kì		Jd
cực kỳ		Jd
cực lạc		Aa
cực lực		Jd
cực nhọc		Aa
cực nhục		Aa
cực quang		Ng
cực tả		Vt
cực tả		Aa
cực thịnh		Aa
cực tiểu		Na, An
cực trị		Na
cực từ		Nc, Ng
cửi		Vt
cưng		Vt
cưng chiều		Vt
cứng		Aa
cứng cáp		Aa
cứng cát		Aa
cứng cỏi		Aa
cứng còng		Aa
cứng cổ		Aa
cứng cựa		Aa
cứng đầu		Aa
cứng đầu cứng cổ		Aa
cứng đờ		Aa
cứng họng		Aa
cứng lưỡi		Aa
cứng miệng		Aa
cứng ngắc		Aa
cứng nhắc		Aa
cứng quèo		Aa
cứng rắn		Aa
cước		Nc, Ng
cước chú		Na
cước khí		Na
cước phí		Na
cước vận		Na
cược		Vt
cười		Vit
cười chê		Vt
cười cợt		Vit
cười duyên		Vit
cười gằn		Vit
cười góp		Vit
cười khà		Vit
cười khẩy		Vit
cười khì		Vit
cười mát		Vit
cười miếng chi		Vit
cười mũi		Vit
cười nắc nẻ		Vit
cười ngất		Vit
cười nhạt		Vit
cười như nắc nẻ		X
cười nịnh		Vit
cười nụ		Vit
cười ồ		Vit
cười phá		Vit
cười ra nước mắt		X
cười rộ		Vit
cười ruồi		Vit
cười sặc		Vit
cười sằng sặc		Vit
cười tình		Vit
cười trừ		Vit
cười tủm		Vit
cười vỡ bụng		X
cười xoà		Vit
cưỡi		Vt
cưỡi cổ		Vt
cưỡi đầu cưỡi cổ		Vit
cưỡi hổ		X
cưỡi ngựa xem hoa		X
cưới		Vt
cưới chạy tang		Vit
cưới hỏi		Vit
cưới xin		Vit
cườm		Nc, Vt
cương		Nc, Vit, Aa
cương cường		Aa
cương giới		Nl
cương kiên		Aa
cương lĩnh		Na
cương mô		Ng
cương ngạnh		Aa
cương nghị		Aa
cương quyết		Aa
cương thổ		Na
cương thường		Na
cương toả		Na
cương trực		Aa
cương vị		Na
cương vực		Na
cường		Aa
cường bạo		Aa
cường đạo		Nc, Ng
cường địch		Nc, Ng
cường điệu		Vit
cường độ		Na
cường độ lao động		Na
cường hào		Nc, Ng
cường kích		Nc, Ng
cường quốc		Nc, Ng
cường quyền		Na
cường tập		Vit
cường thịnh		Aa
cường toan		Nc, Ng
cường tráng		Aa
cưỡng		Nc, Ng, Vtv, Aa
cưỡng bách		Vt
cưỡng bức		Vt
cưỡng chế		Vit
cưỡng dâm		Vit
cưỡng đoạt		Vt
cưỡng ép		Vt
cưỡng hiếp		Vt
cưỡng hôn		Vit
cướp		Nc, Ng, Vt
cướp bóc		Vt
cướp cò		Vit
cướp đoạt		Vt
cướp giật		Vt
cứt		Nc, Ng
cứt đái		Nc, Ng
cứt gián		Nc, Ng
cứt ngựa		Nc, Ng
cứt sắt		Nc, Ng
cứt su		Nc, Ng
cứt trâu		Nc, Ng
cưu mang		Vt
cừu		Na, Nc
cừu địch		Na, Vit
cừu hận		Vit
cừu thị		Na, Vit
cửu		Na
cửu chương		Nc, Ng
cửu lí hương		Nc, Ng
cửu lý hương		Nc, Ng
cửu ngũ		Na
cửu nguyên		Na
cửu phẩm		Na
cửu trùng		Na
cửu tuyền		Na
cửu vạn		Nc, Ng
cữu		Nc, Ng
cứu		Vt
cứu cánh		Na
cứu chữa		Vt
cứu giúp		Vt
cứu hoả		Vit
cứu hộ		Vit
cứu nhân độ thế		Vit
cứu quốc		Vit
cứu rỗi		Vt
cứu sinh		Vit
cứu tế		Vit
cứu thế		Vit
cứu thương		Na, Vit
cứu tinh		Na
cứu trợ		Vt
cứu ứng		Vit
cứu vãn		Vt
cứu viện		Vit
cứu vớt		Vt
cứu xét		Vit
cựu		Aa
cựu binh		Nc, Ng
cựu chiến binh		Nc, Ng
cựu giao		Na
cựu hiềm		Na
cựu học		Na
cựu thần		Nc, Ng
cựu trào		Nc, Ng
cựu triều		Nc, Ng
cựu truyền		Aa
Cựu ước		Np
CY		X
cybernetic		Np
da		Nc, Ng
da bánh mật		Nc, Ng
da bát		Nc, Ng
da bò		Nc, Ng
da bọc xương		X
da bốc		Nc, Ng
da bốc can		Nc, Ng
da cam		Nc, Ng
da cật		Nc, Ng
da chì		Nc, Ng
da dâu		Nc, Ng
da dầu		Nc, Ng
da dẻ		Nc, Ng
da diết		Aa
da đồi mồi		Nc, Ng
da gà		Nc, Ng
da gai		Nc, Ng
da láng		Nc, Ng
da liễu		Nc, Ng
da lộn		Nc, Ng
da lươn		Nc, Ng
da màu		Nc, Ng
da mồi		Nc, Ng
da ngựa bọc thây		X
da nhung		Nc, Ng
da non		Nc, Ng
da rạn		Nc, Ng
da sần		Nc, Ng
da thuộc		Nc, Ng
da trời		Nc, Ng
dà		Nc, Aa, E
dã		Vt
dã ca		Na
dã chiến		Vit, Aa
dã dề		Vit
dã dượi		Aa
dã lã		Vit
dã man		Aa
dã ngoại		Aa
dã sử		Na
dã tâm		Na
dã thú		Na
dã tràng		Nc, Ng
dã vị		Na
dạ		Nc, Na, Vit, E
dạ cá		Ng
dạ cầm		Nc
dạ cỏ		Nc
dạ con		Nc, Ng
dạ cửa		Nc
dạ dày		Nc, Ng
dạ dày cơ		Nc, Ng
dạ dày tuyến		Nc, Ng
dạ dịp		Vit
dạ đài		Na
dạ đề		Na
dạ hội		Nc, Ng
dạ hợp		Nc
dạ hương		Nc, Ng
dạ khúc		Nc, Ng
dạ lá sách		Nc, Ng
dạ lan hương		Nc, Ng
dạ lí hương		Nc, Ng
dạ lý hương		Nc, Ng
dạ minh sa		Nc, Ng
dạ múi khế		Nc, Ng
dạ quang		Aa
dạ tổ ong		Nc, Ng
dạ trần		Nc
dạ xoa		Na
dạ yến		Nc
dác		Nc
dai		Aa
dai dẳng		Aa
dai nhách		Aa
dai sức		Aa
dài		An
dài dài		An
dài dại		Aa
dài dặc		An
dài dằng dặc		An
dài dòng		Aa
dài dòng văn tự		Aa
dài đuồn đuỗn		An
dài đuỗn		An
dài hơi		Aa
dài lưng		Aa
dài mồm		Aa
dài nghêu		An
dài ngoằng		An
dài ngoẵng		An
dài nhằng		An
dài thòng		An
dài thườn thượt		An
dài thượt		An
dải		Nc, Nt
dải đồng		Na
dải đồng tâm		Na
dải rút		Nc, Ng
dãi		Nc, Vt
dãi dầu		Vit
dãi gió dầm mưa		X
dãi nắng dầm mưa		X
dãi thẻ		Vit
dái		Nc, Ng, Vitim
dái chân		Nc, Ng
dái mít		Nc, Ng
dái tai		Nc, Ng
dại		Aa
dại dột		Aa
dại gái		Aa
dại gì		X
dại gì mà		X
dại khờ		Aa
dại mặt		Aa
dalasi		Np
dam		Nc
dàm		Nc
dám		Vtv
dạm		Vt
dạm hỏi		Vit
dan		Vt
dan díu		Vit
dàn		Nc, Ng, Vit
dàn bài		Ng
dàn bè		Ng
dàn cảnh		Vit
dàn dựng		Vt
dàn hoà		Vit
dàn mặt		Vit
dàn nhạc		Nc, Ng
dàn nhạc giao hưởng		Nc, Ng
dàn tập		Vt
dàn trải		Vit, Aa
dàn xếp		Vt
dãn		Vit
dãn nở		Vit
dán		Vt
dạn		Aa
dạn dày		Aa
dạn dĩ		Aa
dang		Nc, Vt
dang dở		Aa
dàng		Nc, Na
dàng dênh		Aa
dáng		Na
dáng bộ		Na
dáng chừng		Ja
dáng dấp		Na
dáng điệu		Na
dáng vẻ		Na
dáng vóc		Na
dạng		Na
dạng bản		Na
dạng hình		Na
dạng thức		Na
danh		Na
danh bạ		Nc, Ng
danh bất hư truyền		X
danh ca		Nc, Ng
danh cầm		Nc, Ng
danh chính ngôn thuận		X
danh diện		Na
danh dự		Na
danh định		Vit
danh gia		Nc, Ng
danh giá		Na, Aa
danh hài		Nc, Ng
danh hiệu		Na
danh hoạ		Nc, Ng
danh lam thắng cảnh		Nc, Ng
danh lợi		Na
danh mục		Nc, Ng
danh nghĩa		Na
danh ngôn		Na
danh ngữ		Na
danh nhân		Nc, Ng
danh nho		Nc, Ng
danh pháp		Na
danh phận		Na
danh sách		Nc, Ng
danh sĩ		Nc, Ng
danh số		Na
danh sư		Nc, Ng
danh tác		Nc, Ng
danh tài		Na
danh tánh		Na
danh thắng		Nc, Ng
danh thần		Nc, Ng
danh thiếp		Nc, Ng
danh thủ		Nc, Ng
danh tiếng		Na, Aa
danh tiết		Na
danh tính		Na
danh từ		Na
danh từ chung		Na
danh từ riêng		Na
danh tướng		Nc, Ng
danh vị		Na
danh vọng		Na
danh xưng		Na
danh y		Nc, Ng
dành		Nc, Vt
dành dành		Nc, Ng
dành dụm		Vt
dảnh		Nu
dao		Nc, Ng
dao bài		Nc, Ng
dao bào		Nc, Ng
dao bảy		Nc, Ng
dao bầu		Nc, Ng
dao cạo		Nc, Ng
dao cau		Nc, Ng
dao cầu		Nc, Ng
dao chìa vôi		Nc, Ng
dao díp		Nc, Ng
dao độ		Na
dao động		Na, Vit
dao động đồ		Na
dao động kí		Na
dao động ký		Na
dao găm		Nc, Ng
dao hai lưỡi		X
dao mổ		Nc, Ng
dao nề		Nc, Ng
dao nhíp		Nc, Ng
dao pha		Nc, Ng
dao phay		Nc, Ng
dao quắm		Nc, Ng
dao rựa		Nc, Ng
dao tể		Nc, Ng
dao tiện		Nc, Ng
dao tông		Nc, Ng
dao trì		Na
dao trổ		Nc, Ng
dao tu		Nc, Ng
dao vọ		Nc, Ng
dao vôi		Nc, Ng
dao xây		Nc, Ng
dao xếp		Nc, Ng
dao yếm		Nc
dào		Vit, E
dào dạt		Vit, Aa
dáo dác		Aa
dạo		Nu, Vit
dạo đầu		Vit
dạo mát		Vit
dát		Vt, Aa
dát gái		Aa
dạt		Vit
dạt dào		Vit, Aa
dàu		Aa
day		Vt
day dứt		Na, Vitim
day trở		Vit
dày		An
dày cồm cộp		An
dày cộp		An
dày cui		An
dày dạn		Aa
dày dặn		Aa
dày đặc		Aa
dày gió dạn sương		Aa
dảy		Vt
dãy		Nc, Nu
dạy		Vt
dạy bảo		Vt
dạy dỗ		Vt
dạy đời		Vit
dạy học		Vit
dăm		Nc, Nn
dăm ba		Nn
dăm bào		Nc, Ng
dăm bảy		Nn
dăm cối		Nc, Ng
dăm kèn		Nc, Ng
dăm kết		Nc
dằm		Nc
dặm		Nu
dặm ngàn		Ng
dặm nghìn		Ng
dặm trường		Ng
dăn		Vit
dăn deo		Aa
dăn dúm		Aa
dằn		Vt
dằn dỗi		Vit
dằn hắt		Vt
dằn mặt		Vit
dằn vặt		Vt
dặn		Vt
dặn dò		Vt
dăng		Vt
dăng dăng		Vit
dằng dai		Aa
dằng dặc		Aa
dằng dịt		Aa
dặng		Vit
dặng hắng		Vit
dắt		Vt
dắt dẫn		Vt
dắt dây		Vit
dắt dìu		Vt
dắt díu		Vit
dắt mũi		Vt
dặt		Vt
dặt dẹo		Aa
dặt dìu		Aa
dâm		Na, Aa
dâm bôn		Aa
dâm bụt		Nc, Ng
dâm dấp		Aa
dâm dật		Aa
dâm dục		Na, Aa
dâm đãng		Aa
dâm loạn		Aa
dâm ô		Aa
dâm phụ		Nc, Ng
dâm tà		Na
dâm thư		Nc, Ng
dầm		Nc, Vt
dầm dề		Aa
dầm mưa dãi nắng		X
dẫm		Vt
dẫm đạp		Vt
dấm		Vt
dấm da dấm dẳn		Aa
dấm dẳn		Aa
dấm dẳng		Aa
dấm dớ		Vit, Aa
dấm dúi		Vt, Aa
dấm dứ		Vt
dấm dứt		Aa
dậm		Nc, Vit
dậm dật		Vit
dậm doạ		Vt
dân		Ng
dân biểu		Nc, Ng
dân binh		Nc, Ng
dân ca		Na
dân cày		Nc, Ng
dân chính		Na
dân chủ		Na, Aa
dân chủ hoá		Vt
dân chủ tập trung		Na
dân chủ tư sản		Na
dân chủ xã hội chủ nghĩa		Na
dân chúng		Nc, Ng
dân công		Nc, Ng
dân cư		Nc, Ng
dân cử		Aa
dân dã		Na
dân dấn		Vt
dân doanh		Aa
dân dụng		Aa
dân đen		Nc, Ng
dân đinh		Nc, Ng
dân gian		Na, Aa
dân khí		Na
dân lập		Aa
dân luật		Na
dân nghèo		Nc, Ng
dân ngu khu đen		Np
dân nguyện		Na
dân phòng		Nc, Ng
dân phố		Nc, Ng
dân quân		Nc, Ng
dân quân du kích		Nc, Ng
dân quân tự vệ		Nc, Ng
dân quê		Nc, Ng
dân quốc		Na
dân quyền		Na
dân sinh		Na
dân số		Na
dân số học		Na
dân sự		Na, Aa
dân tình		Na
dân tộc		Ng
dân tộc chủ thể		Na
dân tộc đa số		Na
dân tộc hoá		Vt
dân tộc học		Na
dân tộc thiểu số		Na
dân tộc tính		Na
dân trí		Na
dân tuý		Na, Aa
dân vận		Vit
dân vệ		Nc, Ng
dân viện		Nc, Ng
dân y		Na
dân ý		Na
dần		Na, Vt, Jr
dần dà		Jr
dẫn		Vt
dẫn chất		Nc
dẫn chứng		Na, Vt
dẫn cưới		Vit
dẫn dắt		Vt
dẫn dụ		Vt
dẫn dụng		Vt
dẫn đạo		Vit
dẫn đầu		Vit
dẫn điểm		Vit
dẫn điện		Vit
dẫn độ		Vit
dẫn động		Vit
dẫn giải		Vt
dẫn hoả		Vit
dẫn liệu		Na
dẫn lộ		Vit
dẫn lưu		Vit
dẫn nhiệt		Vit
dẫn rượu		Vit
dẫn thân		Vit
dẫn thuỷ		Vit
dẫn thuỷ nhập điền		Vit
dẫn truyền		Vt
dẫn xác		Vit
dẫn xuất		Na, Aa
dấn		Vit, Vt
dấn mình		Vit
dấn thân		Vit
dấn vốn		Na
dận		Vt
dâng		Vit, Vt
dâng hiến		Vt
dấp		Vt
dấp da dấp dính		Aa
dấp dính		Aa
dấp giọng		Vit
dập		Vt
dập dềnh		Vit
dập dìu		Aa
dập dồn		Aa
dập dờn		Vit, Aa
dập vùi		Vt
dật dờ		Vit, Aa
dật sĩ		Nc, Ng
dật sử		Na
dâu		Nc
dâu bể		Na
dâu con		Nc, Ng
dâu da		Nc, Ng
dâu da xoan		Nc, Ng
dâu gia		Nc, Ng
dâu rượu		Nc, Ng
dâu tằm		Nc, Ng
dâu tây		Nc, Ng
dầu		Nc, Ng, Aa
dầu béo		Nc, Ng
dầu bóng		Nc, Ng
dầu cá		Nc, Ng
dầu cao		Nc, Ng
dầu chổi		Nc, Ng
dầu con hổ		Nc, Ng
dầu cốc		Nc, Ng
dầu cù là		Nc, Ng
dầu dãi		Vit
dầu diesel		Nc, Ng
dầu đèn		Nc, Ng
dầu đi-ê-den		Nc, Ng
dầu điezen		Nc, Ng
dầu gió		Nc, Ng
dầu giun		Nc, Ng
dầu hắc		Nc, Ng
dầu hoả		Nc, Ng
dầu hôi		Nc, Ng
dầu khí		Nc, Ng
dầu luyn		Nc, Ng
dầu lửa		Nc, Ng
dầu máy		Nc, Ng
dầu măng		Nc, Ng
dầu mỏ		Nc, Ng
dầu mỡ		Nc, Ng
dầu nặng		Nc, Ng
dầu nhờn		Nc, Ng
dầu nhớt		Nc, Ng
dầu phộng		Nc, Ng
dầu phụng		Nc, Ng
dầu quang		Nc, Ng
dầu rái		Nc, Ng
dầu ta		Nc, Ng
dầu tây		Nc, Ng
dầu tẩy		Nc, Ng
dầu thô		Nc, Ng
dẩu		Vt
dẫu		Cc
dẫu sao		X
dấu		Nc, Ng, Vt
dấu ấn		Nc, Ng
dấu câu		Nc, Ng
dấu hiệu		Na
dấu hỏi		Nc, Ng
dấu lặng		Nc, Ng
dấu luyến		X
dấu lửng		Nc, Ng
dấu má		Nc, Ng
dấu mũ		Nc, Ng
dấu nhắc		Nc, Ng
dấu nối		Nc, Ng
dấu tích		Nc, Ng
dấu vết		Nc, Ng
dậu		Nc, Na
dây		Nc, Ng, Vt
dây bọc		Nc, Ng
dây cà ra dây muống		X
dây cáp		Nc, Ng
dây chằng		Nc, Ng
dây chun		Nc, Ng
dây chuyền		Nc, Ng
dây cót		Nc, Ng
dây cung		Nc, Ng
dây dẫn		Nc, Ng
dây dính		Vit
dây dọi		Nc, Ng
dây dợ		Nc, Ng
dây dưa		Vit
dây dướng		Vt
dây đất		Nc, Ng
dây điện		Nc, Ng
dây gắm		Nc, Ng
dây kẽm gai		Nc, Ng
dây khoá kéo		Nc, Ng
dây leo		Nc, Ng
dây lưng		Nc, Ng
dây mát		Nc, Ng
dây máu ăn phần		X
dây mơ rễ má		X
dây mũi		Nc, Ng
dây mực		Nc, Ng
dây nguội		Nc, Ng
dây nhợ		Nc, Ng
dây nói		Nc, Ng
dây nóng		Nc, Ng
dây óng		Nc, Ng
dây pha		Nc, Ng
dây rút		Nc, Ng
dây sống		Nc, Ng
dây thần kinh		Nc, Ng
dây thép		Nc, Ng
dây thép gai		Nc, Ng
dây thiều		Nc, Ng
dây thun		Nc, Ng
dây tóc		Nc, Ng
dây trần		Nc, Ng
dây trời		Na
dây xích		Nc, Ng
dầy		Vt, An
dẫy		Nc, Nu, Vit
dấy		Vt
dấy binh		Vit
dậy		Vit
dậy đất		Aa
dậy mùi		Aa
dậy thì		Vit, Aa
de		Nc, Ng
dè		Vit
dè bỉu		Vt, Vim, Vtim
dè chừng		Vt
dè dặt		Vit, Aa
dè sẻn		Vt
dẻ		Nc, Ng
dẽ		Nc, Ng, Aa
dẽ dàng		Aa
dẽ gà		Nc, Ng
dẽ giun		Nc, Ng
dẽ tính		Aa
dé		Vit
dé chân chèo		Vit
deca-		Np
deci-		Np
decibel		Np
delta		Np
dém		Vt
dèn dẹt		Aa, An
denar		Np
dẻo		Aa
dẻo dai		Aa
dẻo dang		Aa
dẻo mồm		Aa
dẻo quẹo		Aa
dép		Nc, Ng
dẹp		Vt, An
dẹp lép		An
dẹp tiệm		Vit
derô		Np
dẹt		An
dê		Nc, Ng, Vit, Aa
dê diếu		Vt
dê-rô		Np
dể		Vt, Vim, Vtim
dể duôi		Vt, Vim, Vtim
dể ngươi		Vt, Vim, Vtim
dễ		Aa
dễ chịu		Aa
dễ coi		Aa
dễ dãi		Aa
dễ dàng		Aa
dễ dầu		Aa
dễ làm khó bỏ		X
dễ ợt		Aa
dễ sợ		Jd
dễ thở		Aa
dễ thương		Aa
dễ thường		Jd
dễ tính		Aa
dế		Nc, Ng
dế dũi		Nc, Ng
dế mèn		Nc, Ng
dế nhủi		Nc, Ng
dế trũi		Nc, Ng
dệ		Nc
dệch		Vt
dền		Nc, Ng
dền cơm		Nc, Ng
dền gai		Nc, Ng
dền tía		Nc, Ng
dện		Nc, Ng
dềnh		Vit
dềnh dang		Vit, Aa
dềnh dàng		Vit, Aa
dềnh dàng		An
dêrô		Np
dệt		Vt
dệt kim		Vit
di		Vt
di bản		Nc, Ng
di cảo		Nc, Ng
di căn		Vit
di chỉ		Nc, Ng
di chiếu		Nc, Ng
di chúc		Nc, Ng, Vit
di chuyển		Vt
di chứng		Nc, Ng
di cốt		Nc, Ng
di cư		Vit
di dân		Na, Vit
di dịch		Vit
di dời		Vit
di dưỡng		Vit
di động		Vit
di hài		Nc, Ng
di hại		Na, Vit
di hận		Na, Vit
di hoạ		Na, Vit
di huấn		Na
di lí		Vt
di lý		Vt
di sản		Nc, Ng
di tản		Vit
di táng		Vit
di thần		Na
di thực		Vit
di tích		Nc, Ng
di tinh		Na
di trú		Vit
di truyền		Vit
di truyền học		Na
di vật		Nc, Ng
dì		Nc
dì ghẻ		Nc, Ng
dĩ chí		Cm
dĩ hoà vi quí		X
dĩ hoà vi quý		X
dĩ nhiên		Aa
dĩ thực vi tiên		X
dĩ vãng		Na
dí dỏm		Aa
dị		Aa
dị bản		Nc, Ng
dị biệt		Vitc, Aa
dị chủng		Na
dị chứng		Na
dị dạng		Na, Aa
dị dưỡng		Vit
dị đoan		Na, Vit
dị đồng		Aa
dị giáo		Na
dị hình		Na, Aa
dị hoá		Vit
dị hờm		Aa
dị hợm		Aa
dị hướng		Aa
dị kì		Aa
dị kỳ		Aa
dị nghị		Vit
dị nguyên		Na
dị tật		Na
dị thường		Aa
dị tộc		Ng
dị tướng		Na
dị ứng		Na, Vit
dị vật		Ng
dĩa		Nc
dicdăc		Np
dích-dắc		Np
dịch		Ng, Vt
dịch âm		Vit
dịch bào		Ng
dịch bệnh		Na
dịch chuyển		Vt
dịch giả		Nc, Ng
dịch giọng		Vit
dịch hạch		Nc, Ng
dịch hoàn		Nc, Ng
dịch lệ		Nc, Ng
dịch máy		Vit
dịch nhầy		Nc, Ng
dịch tả		Nc, Ng
dịch tễ		Nc, Ng
dịch tễ học		Na
dịch thể		Nc, Ng
dịch thuật		Vit
dịch vị		Ng
dịch vụ		Np
diesel		Np
diếc		Nc, Ng
diệc		Nc, Ng
diệc lửa		Nc, Ng
diêm		Nc, Ng
diêm dân		Nc, Ng
diêm dúa		Aa
diêm nghiệp		Nc, Ng
diêm sinh		Nc, Ng
diêm tiêu		Nc, Ng
diêm trường		Nc, Ng
diêm vàng		Nc, Ng
Diêm Vương		Np
Diêm Vương Tinh		Np
diềm		Nc
diềm bâu		Nc, Ng
diễm kiều		Aa
diễm lệ		Aa
diễm phúc		Na, Aa
diễm tình		Na
diễm tuyệt		Aa
diễn		Nc, Ng, Vt
diễn biến		Na, Vit
diễn biến hoà bình		Vit
diễn ca		Nc, Ng, Vt
diễn cảm		Aa
diễn dịch		Vit
diễn đài		Nc, Ng
diễn đàn		Nc, Ng
diễn đạt		Vt
diễn giả		Nc, Ng
diễn giải		Vt
diễn giảng		Vt
diễn nghĩa		Vit
diễn tả		Vt
diễn tập		Vit
diễn tấu		Vt
diễn thuyết		Vit
diễn tiến		Vit
diễn từ		Nc, Ng
diễn văn		Nc, Ng
diễn viên		Nc, Ng
diễn xuất		Vit
diễn xướng		Vt
diện		Na, Vt, Aa
diện kiến		Vt
diện mạo		Na
diện tích		Na
diện tích phụ		Na
diếp		Nc, Ng
diếp cá		Nc, Ng
diệp		Nc
diệp lục		Ng
diệp lục tố		Ng
diệp thạch		Nc, Ng
diệt		Vts
diệt chủng		Vit
diệt dục		Vit
diệt trừ		Vt
diệt vong		Vit
diều		Nc, Ng
diều hâu		Nc, Ng
diễu		Vit
diễu binh		Vit
diễu hành		Vit
diễu võ dương oai		X
diệu		Aa
diệu huyền		Aa
diệu kế		Na
diệu kì		Aa
diệu kỳ		Aa
diệu võ dương oai		Vit
diệu vợi		Aa
dìm		Vt
dím		Nc, Ng
dĩn		Nc, Ng
dinar		Np
dinh		Nc, Ng, Vt
dinh cơ		Nc, Ng
dinh dính		Aa
dinh dưỡng		Na, Vit, Aa
dinh điền		Vit
dinh điền sứ		Nc, Ng
dinh luỹ		Nc, Ng
dinh tê		Vit
dinh thự		Nc, Ng
dĩnh ngộ		Aa
dính		Vt, Aa
dính dáng		Vt
dính dấp		Vt
dính líu		Vt
diod		Np
dioptr		Np
díp		Nc
díp		Nc, Vt
dịp		Nc, Nu
dirham		Np
dịt		Vt, Jd
dìu		Vt
dìu dắt		Vt
dìu dặt		Aa
dìu dịu		Aa
díu		Vt
dịu		Vt, Aa
dịu dàng		Aa
dịu hiền		Aa
dịu ngọt		Aa
dịu nhỉu		Aa
do		Nc, Cm
do dự		Vit
do thám		Nc, Ng, Vt
dò		Nc, Vt
dò		Nc
dò dẫm		Vt
dò hỏi		Vt
dò la		Vt
dò xét		Vt
dó		Nc, Ng
dọ		Vt
doa		Vt
doá		Vit
doạ		Vt
doạ dẫm		Vt
doạ già doạ non		Vit
doạ nạt		Vt
doãi		Vt
doãng		Vt, An
doạng		Vt
doanh		Nc
doanh điền		Vit
doanh gia		Nc, Ng
doanh hoàn		Ng
doanh lợi		Na
doanh nghiệp		Nc, Ng, Vit
doanh nhân		Nc, Ng
doanh số		Na
doanh thu		Na
doanh thương		Vit
doanh trại		Nc, Ng
doành		Nc
dobra		Np
dóc		Vt, Aa
dọc		Nc, Nu, Aa
dọc ngang		Nl
doi		Nt
dòi		Nc
dõi		Na, Vt
dọi		Nc, Vt
dol		Np
dollar		Np
dom		Nc, Ng
dòm		Vt
dòm dỏ		Vt
dòm ngó		Vt
dỏm		Aa
dóm		Vt
domino		Np
dọn		Vt, Aa
dọn dẹp		Vt
dọn giọng		Vit
dong		Nc, Vt
dong dải		Aa
dong dỏng		Aa
dong đao		Nc, Ng
dong riềng		Nc, Ng
dòng		Nc, Vt
dòng chảy		Nc
dòng dõi		Nc, Ng
dòng điện		Nc, Ng
dòng điện một chiều		Nc, Ng
dòng điện xoay chiều		Nc, Ng
dòng giống		Nc, Ng
dòng họ		Nc, Ng
dòng tộc		Nc, Ng
dỏng		Vt
dõng		Ng
dõng dạc		Aa
dóng		Nc, Nt, Vt
dóng dả		Vit
dọng		Nc
dọp		Vit
doping		Np
dopinh		Np
dô		Aa
dô ta		Na
dồ		Vt
dỗ		Vt
dỗ dành		Vt
dốc		Nc, Ng, Vt, Aa
dốc nước		Nc, Ng
dốc thoải		Nc, Ng
dôi		Vt, Aa
dồi		Nc, Ng, Vt
dồi dào		Aa
dồi mài		Vt
dồi sấy		Nc, Ng
dỗi		Vit
dối		Vit, Aa
dối dá		Aa
dối dăng		Vit
dối già		Aa
dối trá		Aa
dội		Vt
dổm		Aa
dồn		Vt
dồn dập		Aa
dồn ép		Vt
dồn nén		Vt
dồn tụ		Vt
dông		Nc, Ng, Vit
dông dài		Aa
dông tố		Nc, Ng
dồng dộc		Nc, Ng
dộng		Vt
dộp		Vit
dốt		Aa
dốt đặc		Aa
dốt đặc cán mai		Aa
dốt nát		Aa
dột		Aa
dột nát		Aa
dột từ nóc		X
dột từ nóc dột xuống		X
dơ		Aa
dơ bẩn		Aa
dơ dáng		Aa
dơ dáng dại hình		X
dơ dáy		Aa
dơ duốc		Aa
dở		Aa
dở bữa		Vit
dở chừng		Jd
dở chứng		Vit
dở dang		Aa
dở dói		Vit
dở dở ương ương		Aa
dở dơi dở chuột		Aa
dở ẹc		Aa
dở ẹt		Aa
dở hơi		Aa
dở khóc dở cười		Vit
dở khôn dở dại		Aa
dở ông dở thằng		Aa
dở trăng dở đèn		Aa
dỡ		Vt
dớ da dớ dẩn		Aa
dớ dẩn		Aa
dơi		Nc, Ng
dời		Vto
dợm		Vt
dơn		Nc
dớn dác		Aa
dợn		Na, Vit
dớp		Na
drachma		Np
dram		Np
du		Nc, Vt
du canh		Vit
du côn		Nc, Ng, Aa
du cư		Vit
du di		Vit
du dương		Aa
du đãng		Vit
du hành		Vit
du hành vũ trụ		Vit
du hí		Vit
du học		Vit
du học sinh		Nc, Ng
du hý		Vit
du khách		Nc, Ng
du kí		Na
